Species;Life span;LengthU_MEAN
Gallinago media;;28,00
Gallinago stenura;;26,00
Limosa lapponica;33;38,00
Limosa limosa;24;42,00
Lymnocryptes minimus;12;18,00
Numenius arquata;32;55,00
Numenius phaeopus;16;41,00
Phalaropus fulicarius;6;21,00
Phalaropus lobatus;10;185,00
Scolopax rusticola;16;34,00
Tringa erythropus;9;30,00
Tringa glareola;12;20,00
Tringa nebularia;24;315,00
Tringa ochropus;12;225,00
Tringa stagnatilis;7;23,00
Tringa totanus;27;28,00
Xenus cinereus;16;23,00
Catharacta skua;35;555,00
Stercorarius longicaudus;11;505,00
Stercorarius parasiticus;31;435,00
Stercorarius pomarinus;16;485,00
Turnix sylvatica;;155,00
Otis tarda;10;90,00
Tetrax tetrax;;425,00
Acrocephalus agricola;5;13,00
Acrocephalus arundinaceus;10;195,00
Acrocephalus dumetorum;8;13,00
Acrocephalus melanopogon;11;125,00
Acrocephalus paludicola;8;13,00
Acrocephalus palustris;9;13,00
Acrocephalus scirpaceus;14;13,00
Acrocephalus schoenobaenus;12;13,00
Hippolais icterina;11;135,00
Hippolais olivetorum;;15,00
Hippolais polyglotta;9;13,00
Iduna caligata;;1175,00
Iduna pallida;8;1275,00
Aegithalos caudatus;11;14,00
Alauda arvensis;10;185,00
Alauda leucoptera;;18,00
Alaudala rufescens;;135,00
Calandrella brachydactyla;;135,00
Eremophila alpestris;7;155,00
Galerida cristata;12;17,00
Galerida theklae;;17,00
Chersophilus duponti;;18,00
Lullula arborea;5;15,00
Melanocorypha calandra;;185,00
Bombycilla garrulus;13;18,00
Calcarius lapponicus;6;155,00
Plectrophenax nivalis;10;165,00
Certhia brachydactyla;6;125,00
Certhia familiaris;8;125,00
Cinclus cinclus;11;18,00
Cisticola juncidis;;10,00
Corvus corax;23;64,00
Corvus corone;19;46,00
Corvus frugilegus;23;45,00
Corvus monedula;20;335,00
Cyanopica cyanus;;345,00
Garrulus glandarius;17;345,00
Nucifraga caryocatactes;16;325,00
Perisoreus infaustus;13;305,00
Pica pica;22;45,00
Pyrrhocorax graculus;23;38,00
Pyrrhocorax pyrrhocorax;17;395,00
Emberiza aureola;7;145,00
Emberiza bruniceps;;16,00
Emberiza caesia;;16,00
Emberiza calandra;11;18,00
Emberiza cia;;16,00
Emberiza cineracea;;165,00
Emberiza cirlus;6;155,00
Emberiza citrinella;13;1625,00
Emberiza hortulana;7;165,00
Emberiza leucocephalos;;165,00
Emberiza melanocephala;11;165,00
Emberiza pallasi;12;135,00
Emberiza pusilla;;135,00
Emberiza rustica;;15,00
Emberiza schoeniclus;12;1575,00
Amandava amandava;;95,00
Estrilda astrild;8;11,00
Estrilda melpoda;;10,00
Acanthis flammea;12;13,00
Acanthis flammea hornemanni;12;14,00
Bucanetes githagineus;;125,00
Bucanetes mongolicus;;13,00
Carduelis carduelis;14;12,00
Carduelis citrinella;6;12,00
Carpodacus erythrinus;9;1475,00
Carpodacus rubicilla;;205,00
Coccothraustes coccothraustes;13;18,00
Fringilla coelebs;16;145,00
Fringilla montifringilla;15;14,00
Chloris chloris;14;15,00
Linaria cannabina;9;135,00
Linaria flavirostris;6;14,00
Loxia curvirostra;14;165,00
Loxia leucoptera;4;15,00
Loxia pytyopsittacus;6;175,00
Loxia scotica;16;165,00
Pinicola enucleator;10;185,00
Pyrrhula murina;18;155,00
Pyrrhula pyrrhula;13;16,00
Serinus canaria;24;125,00
Serinus pusillus;;12,00
Serinus serinus;13;115,00
Spinus spinus;14;12,00
Cecropis daurica;8;165,00
Delichon urbicum;15;125,00
Hirundo rustica;11;18,00
Ptyonoprogne rupestris;;145,00
Riparia riparia;10;12,00
Lanius collurio;10;17,00
Lanius excubitor;8;245,00
Lanius minor;6;20,00
Lanius nubicus;4;175,00
Lanius senator;6;18,00
Locustella fluviatilis;7;13,00
Locustella lanceolata;;1225,00
Locustella luscinioides;10;14,00
Locustella naevia;6;125,00
Anthus berthelotii;;14,00
Anthus campestris;;165,00
Anthus cervinus;5;15,00
Anthus hodgsoni;;145,00
Anthus petrosus;11;1675,00
Anthus pratensis;9;145,00
Anthus spinoletta;9;175,00
Anthus spinoletta ssp;9;175,00
Anthus trivialis;9;15,00
Motacilla alba;14;18,00
Motacilla cinerea;8;185,00
Motacilla citreola;9;17,00
Motacilla flava;9;17,00
Calliope calliope;;14,00
Cercotrichas galactotes;7;15,00
Cyanecula svecica;11;14,00
Erithacus rubecula;19;14,00
Ficedula albicollis;10;13,00
Ficedula hypoleuca;11;13,00
Ficedula parva;12;115,00
Ficedula semitorquata;12;13,00
Luscinia luscinia;9;165,00
Luscinia megarhynchos;11;165,00
Monticola saxatilis;;185,00
Monticola solitarius;;20,00
Muscicapa striata;11;145,00
Oenanthe deserti;;145,00
Oenanthe finschii;;14,00
Oenanthe hispanica;;145,00
Oenanthe isabellina;;165,00
Oenanthe leucura;;18,00
Oenanthe oenanthe;10;15,00
Oenanthe pleschanka;;145,00
Oenanthe xanthoprymna;;145,00
Phoenicurus ochruros;10;145,00
Phoenicurus phoenicurus;10;14,00
Saxicola rubetra;7;125,00
Saxicola torquatus;9;125,00
Tarsiger cyanurus;;14,00
Oriolus oriolus;11;24,00
Panurus biarmicus;7;125,00
Cyanistes caeruleus;12;115,00
Cyanistes cyanus;10;13,00
Lophophanes cristatus;12;115,00
Parus major;15;14,00
Periparus ater;10;115,00
Poecile cinctus;9;135,00
Poecile lugubris;10;14,00
Poecile montanus;11;115,00
Poecile palustris;12;115,00
Montifringilla nivalis;;17,00
Passer domesticus;20;145,00
Passer hispaniolensis;8;15,00
Passer italiae;13;145,00
Passer montanus;13;14,00
Petronia petronia;7;14,00
Phylloscopus bonelli;7;115,00
Phylloscopus borealis;7;11,00
Phylloscopus collybita;8;105,00
Phylloscopus inornatus;7;10,00
Phylloscopus sibilatrix;10;12,00
Phylloscopus sindianus;7;1075,00
Phylloscopus trochiloides;6;10,00
Phylloscopus trochilus;11;11,00
Prunella atrogularis;;15,00
Prunella collaris;8;18,00
Prunella modularis;21;145,00
Prunella montanella;;145,00
Regulus ignicapilla;;9,00
Regulus regulus;5;9,00
Remiz pendulinus;7;11,00
Cettia cetti;7;135,00
Sitta europaea;13;14,00
Sitta krueperi;;125,00
Sitta neumayer;6;14,00
Sitta whiteheadi;;12,00
Tichodroma muraria;;165,00
Acridotheres cristatellus;13;26,00
Acridotheres tristis;6;23,00
Pastor roseus;11;215,00
Sturnus unicolor;9;22,00
Sturnus vulgaris;23;215,00
Sylvia atricapilla;14;13,00
Sylvia borin;14;14,00
Sylvia cantillans;;12,00
Sylvia communis;9;14,00
Sylvia conspicillata;;125,00
Sylvia curruca;8;13,00
Sylvia hortensis;;15,00
Sylvia melanocephala;8;135,00
Sylvia mystacea;;135,00
Sylvia nisoria;12;155,00
Sylvia ruppelli;;14,00
Sylvia sarda;;12,00
Sylvia undata;4;125,00
Troglodytes troglodytes;7;95,00
Turdus iliacus;17;21,00
Turdus merula;22;245,00
Turdus philomelos;18;23,00
Turdus pilaris;18;255,00
Turdus ruficollis;;25,00
Turdus torquatus;9;235,00
Turdus viscivorus;21;27,00
Zoothera aurea;;27,00
Ardea alba;14;935,00
Ardea cinerea;37;94,00
Ardea purpurea;25;84,00
Ardeola ralloides;6;455,00
Botaurus stellaris;11;75,00
Bubulcus ibis;18;505,00
Egretta garzetta;22;60,00
Ixobrychus minutus;13;355,00
Nycticorax nycticorax;17;615,00
Pelecanus crispus;35;170,00
Pelecanus onocrotalus;51;1575,00
Platalea leucorodia;28;85,00
Plegadis falcinellus;9;60,00
Phaethon aethereus;18;975,00
Phoenicopterus roseus;13;135,00
Dendrocopos leucotos;16;25,00
Dendrocopos major;13;225,00
Dendrocopos syriacus;11;225,00
Dryobates minor;10;145,00
Dryocopus martius;14;46,00
Jynx torquilla;7;165,00
Leiopicus medius;7;21,00
Picoides tridactylus;11;215,00
Picus canus;8;255,00
Picus viridis;15;32,00
Podiceps auritus;7;345,00
Podiceps cristatus;19;485,00
Podiceps grisegena;11;45,00
Podiceps nigricollis;13;31,00
Tachybaptus ruficollis;17,50;27,00
Hydrobates castro;11;20,00
Hydrobates leucorhous;31;205,00
Hydrobates pelagicus;33;16,00
Pelagodroma marina;10;205,00
Bulweria bulwerii;23;27,00
Calonectris borealis;25;455,00
Fulmarus glacialis;44;475,00
Pterodroma feae;;345,00
Pterodroma madeira;;345,00
Puffinus assimilis;6;275,00
Puffinus mauretanicus;12;34,00
Puffinus puffinus;51;34,00
Puffinus yelkouan;51;36,00
Myiopsitta monachus;22;29,00
Psittacula krameri;34;40,00
Pterocles alchata;;35,00
