"","Species","LengthU_MEAN","Clutch_MEAN","Life span","cluster_id"
"146","Vanellus spinosus",26,4,17,3
"147","Vanellus vanellus",29.5,4,25,3
"148","Gelochelidon nilotica",36.5,2.5,16,3
"149","Hydrocoloeus minutus",26,2.5,21,3
"150","Hydroprogne caspia",50.5,2,30,1
"151","Chlidonias niger",23,3,21,3
"152","Larus argentatus",61,3,35,1
"153","Larus armenicus",62,3,22,1
"154","Larus audouinii",50,2.5,21,1
"155","Larus canus",43,3,34,1
"156","Larus fuscus",59.5,3,35,1
"157","Larus genei",43,2.5,16,3
"158","Larus glaucoides",56,2.5,22,1
"159","Larus hyperboreus",65,3,19,1
"160","Larus ichthyaetus",59,2.5,9,3
"161","Larus marinus",71,2.5,29,1
"162","Larus melanocephalus",37,3,22,3
"163","Larus michahellis",63,3,19,1
"164","Larus ridibundus",35.5,2.5,31,1
"165","Onychoprion fuscatus",34.5,1,36,1
"166","Pagophila eburnea",41.5,1.5,6,3
"167","Rissa tridactyla",39,2,29,1
"168","Sterna dougallii",35.5,1.5,24,1
"169","Sterna hirundo",33,2.5,33,1
"170","Sterna paradisaea",34,2,31,1
"171","Sternula albifrons",23,2,24,3
"172","Thalasseus bengalensis",36,1.5,25,1
"173","Thalasseus sandvicensis",38.5,1.5,31,1
"174","Xema sabini",29.5,2,22,3
"175","Himantopus himantopus",37.5,4,10,3
"176","Recurvirostra avosetta",43.5,3.5,28,1
"177","Actitis hypoleucos",20,4,15,3
"178","Arenaria interpres",23,4,21,3
"179","Calidris alba",20.5,4,19,3
"180","Calidris alpina",18,4,29,3
"181","Calidris canutus",24,3.5,27,3
"182","Calidris falcinellus",16.5,4,7,3
"183","Calidris maritima",21,4,21,3
"184","Calidris melanotos",21,4,6,3
"185","Calidris minuta",13,4,15,3
"186","Calidris pugnax",28,4,14,3
"187","Calidris temminckii",14,4,13,3
"188","Gallinago gallinago",26,4,16,3
"189","Limosa lapponica",38,4,33,1
"190","Limosa limosa",42,4,24,1
"191","Lymnocryptes minimus",18,4,12,3
"192","Numenius arquata",55,4,32,1
"193","Numenius phaeopus",41,4,16,3
"194","Phalaropus fulicarius",21,4,6,3
"195","Phalaropus lobatus",18.5,4,10,3
"196","Scolopax rusticola",34,4,16,3
"197","Tringa erythropus",30,4,9,3
"198","Tringa glareola",20,4,12,3
"199","Tringa nebularia",31.5,4,24,3
"200","Tringa ochropus",22.5,4,12,3
"201","Tringa stagnatilis",23,4,7,3
"202","Tringa totanus",28,4,27,3
"203","Xenus cinereus",23,4,16,3
"204","Catharacta skua",55.5,2,35,1
"205","Stercorarius longicaudus",50.5,2,11,3
"206","Stercorarius parasiticus",43.5,2,31,1
"207","Stercorarius pomarinus",48.5,2,16,3
"208","Otis tarda",90,2.5,10,1
"209","Acrocephalus agricola",13,4.5,5,3
"210","Acrocephalus arundinaceus",19.5,4.5,10,3
"211","Acrocephalus dumetorum",13,4.5,8,3
"212","Acrocephalus melanopogon",12.5,4,11,3
"213","Acrocephalus paludicola",13,5,8,3
"214","Acrocephalus palustris",13,4,9,3
"215","Acrocephalus scirpaceus",13,4,14,3
"216","Acrocephalus schoenobaenus",13,5.5,12,3
"217","Hippolais icterina",13.5,4.5,11,3
"218","Hippolais polyglotta",13,4.5,9,3
"219","Iduna pallida",12.75,3.5,8,3
"220","Aegithalos caudatus",14,10,11,2
"221","Alauda arvensis",18.5,4,10,3
"222","Eremophila alpestris",15.5,3,7,3
"223","Galerida cristata",17,4,12,3
"224","Lullula arborea",15,4,5,3
"225","Bombycilla garrulus",18,5.5,13,3
"226","Calcarius lapponicus",15.5,5.5,6,3
"227","Plectrophenax nivalis",16.5,5,10,3
"228","Certhia brachydactyla",12.5,6.5,6,3
"229","Certhia familiaris",12.5,5.5,8,3
"230","Cinclus cinclus",18,4.5,11,3
"231","Corvus corax",64,5,23,1
"232","Corvus corone",46,4.5,19,3
"233","Corvus frugilegus",45,4,23,1
"234","Corvus monedula",33.5,5,20,3
"235","Garrulus glandarius",34.5,6,17,3
"236","Nucifraga caryocatactes",32.5,3.5,16,3
"237","Perisoreus infaustus",30.5,3.5,13,3
"238","Pica pica",45,6,22,3
"239","Pyrrhocorax graculus",38,4,23,3
"240","Pyrrhocorax pyrrhocorax",39.5,4,17,3
